x	y
0	1
0.020202	0.990003
0.040404	0.980406
0.0606061	0.9712
0.0808081	0.962379
0.10101	0.953933
0.121212	0.945856
0.141414	0.938139
0.161616	0.930776
0.181818	0.923758
0.20202	0.917079
0.222222	0.910731
0.242424	0.904706
0.262626	0.898998
0.282828	0.8936
0.30303	0.888503
0.323232	0.883701
0.343434	0.879187
0.363636	0.874953
0.383838	0.870992
0.40404	0.867297
0.424242	0.86386
0.444444	0.860674
0.464646	0.857731
0.484848	0.855023
0.505051	0.852543
0.525253	0.850283
0.545455	0.848234
0.565657	0.846388
0.585859	0.844738
0.606061	0.843273
0.626263	0.841986
0.646465	0.840868
0.666667	0.839908
0.686869	0.839098
0.707071	0.838427
0.727273	0.837886
0.747475	0.837464
0.767677	0.83715
0.787879	0.836934
0.808081	0.836802
0.828283	0.836744
0.848485	0.836748
0.868687	0.836799
0.888889	0.836885
0.909091	0.836992
0.929293	0.837105
0.949495	0.837209
0.969697	0.837289
0.989899	0.837329
1.0101	0.83731
1.0303	0.837215
1.05051	0.837026
1.07071	0.836722
1.09091	0.836285
1.11111	0.835691
1.13131	0.83492
1.15152	0.833947
1.17172	0.832748
1.19192	0.831297
1.21212	0.829567
1.23232	0.82753
1.25253	0.825156
1.27273	0.822414
1.29293	0.819271
1.31313	0.815692
1.33333	0.811641
1.35354	0.80708
1.37374	0.801968
1.39394	0.796263
1.41414	0.789921
1.43434	0.782893
1.45455	0.775132
1.47475	0.766583
1.49495	0.757193
1.51515	0.746902
1.53535	0.73565
1.55556	0.723371
1.57576	0.709996
1.59596	0.695454
1.61616	0.679667
1.63636	0.662554
1.65657	0.644029
1.67677	0.624003
1.69697	0.602378
1.71717	0.579053
1.73737	0.553921
1.75758	0.526867
1.77778	0.497771
1.79798	0.466503
1.81818	0.43293
1.83838	0.396905
1.85859	0.358277
1.87879	0.316883
1.89899	0.272551
1.91919	0.225098
1.93939	0.17433
1.9596	0.120039
1.9798	0.062007
2	0
